set,sample_id,target,predicted,confidence,prob_unfamiliar,prob_familiar,correct
Train,1,0,0,986138.2,9861.382,376.44568,True
Train,2,1,1,6.338442e+06,133.77448,63384.42,True
Train,3,0,0,8.346825e+07,834682.5,170.20554,True
Train,4,0,0,1.5786918e+06,15786.918,34.754284,True
Train,5,1,1,1.6165994e+06,168.68123,16165.994,True
Train,6,1,1,2.0464928e+06,374.78857,20464.928,True
Train,7,1,1,188561.5,104.472694,1885.615,True
Train,8,1,1,151260.56,22.905972,1512.6056,True
Train,9,1,1,3.0564745e+06,136.50203,30564.744,True
Train,10,1,1,3.6355735e+06,34.268593,36355.734,True
Train,11,1,1,404049.7,137.0581,4040.4968,True
Train,12,1,1,373759.0,258.62494,3737.5898,True
Train,13,1,1,118823.92,73.48743,1188.2393,True
Train,14,0,0,1.0146011e+07,101460.11,51.84633,True
Train,15,1,1,909802.1,60.442425,9098.021,True
Train,16,1,1,2.2745782e+06,826.34937,22745.783,True
Train,17,0,0,1.7497604e+06,17497.604,576.7938,True
Train,18,0,0,985093.94,9850.939,2377.4905,True
Train,19,1,1,1.9191132e+06,127.71114,19191.133,True
Train,20,1,1,5.4404e+06,182.96165,54404.0,True
Train,21,1,1,2.134295e+07,5047.6353,213429.5,True
Train,22,1,1,752947.4,225.11014,7529.4736,True
Train,23,1,1,316964.72,60.581184,3169.6472,True
Train,24,1,1,368701.03,68.06177,3687.0103,True
Train,25,1,1,711363.9,270.00983,7113.6387,True
Train,26,0,0,1.1001355e+06,11001.355,225.59453,True
Train,27,1,1,3.765832e+06,14.636592,37658.32,True
Train,28,0,0,1.5035048e+08,1.5035049e+06,12190.66,True
Train,29,0,0,708368.2,7083.682,120.184006,True
Train,30,0,0,75258.23,752.5823,19.010073,True
Train,31,1,1,868140.1,2382.6897,8681.401,True
Train,32,0,0,2.6445122e+06,26445.123,2170.01,True
Train,33,1,1,342211.75,8.3628025,3422.1174,True
Train,34,1,1,708143.94,207.14772,7081.4395,True
Train,35,0,0,1.1761931e+06,11761.931,350.8567,True
Train,36,1,1,87520.65,73.76918,875.2065,True
Train,37,0,0,1.0327934e+07,103279.34,640.7304,True
Train,38,0,0,1.1887182e+08,1.1887182e+06,1512.907,True
Train,39,1,1,1.856501e+06,46.07623,18565.01,True
Train,40,0,0,1.7025879e+06,17025.879,989.498,True
Validation,1,0,0,1652.701,16.52701,5.0029135,True
Validation,2,0,1,35779.445,34.486958,357.79443,False
Validation,3,1,0,13223.627,132.23627,75.96612,False
Validation,4,1,1,748941.2,3917.8533,7489.4116,True
Validation,5,1,1,116772.445,74.921265,1167.7245,True
Validation,6,0,1,61979.37,10.817925,619.7937,False
Validation,7,1,0,12582.112,125.82112,42.751926,False
Validation,8,1,0,18733.736,187.33736,15.378655,False
Validation,9,1,0,8078.8276,80.78828,21.831804,False
Test,1,1,1,60482.5,44.54818,604.825,True
Test,2,1,0,63633.473,636.3347,403.24493,False
Test,3,1,1,191490.3,268.92496,1914.903,True
Test,4,1,1,14261.692,10.653382,142.61693,True
Test,5,1,1,63535.51,93.512886,635.3551,True
Test,6,0,0,58945.79,589.4579,287.321,True
Test,7,1,1,15430.056,16.323626,154.30055,True
Test,8,0,0,28992.02,289.9202,156.03967,True
Test,9,0,1,372176.88,1278.3892,3721.7688,False
