stimulus_path,origin_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Britney Spears - Baby One More Time (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Dua Lipa - Levitating (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/The Blue Stones ＂Black Holes (Solid Ground)＂ [Official Lyric Video].wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Twenty One Pilots - Stressed Out (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Britney Spears - Baby One More Time (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/JUNGLE - KEEP MOVING (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/J.I.D - 151 Rum (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/1950 ｜｜ King Princess Lyrics.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/The Killers - Mr Brightside (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Justin Bieber - Sorry (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/The Band CAMINO - Daphne Blue (Official Lyric Video).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Saint Motel - ＂Move＂ Lyrics ｜ Official FIFA17 Soundtrack [HQ].wav,unfamiliar_pool
"/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Lady Gaga, Bradley Cooper - Shallow (Lyrics) (A Star Is Born Soundtrack).wav",familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/The Killers - Mr Brightside (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Doja Cat - Kiss Me More (Lyrics) ft. SZA.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Avicii - Wake Me Up (Official Lyric Video).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/MUNA - I Know A Place (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Lewis Capaldi - Someone You Loved (Lyrics).wav,familiar_pool
"/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Post Malone, Swae Lee - Sunflower (Lyrics).wav",familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/DUCKWRTH - MICHUUL..wav,unfamiliar_pool
