participant_id,trial_num,stimulus_name,origin_pool,familiarity_rating,liking_rating
karsten,1,Aminé - Reel It In (Lyrics).wav,unfamiliar_pool,4,4
karsten,2,grandson - Blood ⧸⧸ Water (Lyrics).wav,unfamiliar_pool,1,3
karsten,3,Nightly - The Movies (Lyric video).wav,unfamiliar_pool,3,5
karsten,4,One Direction - What Makes You Beautiful(Lyrics)🎵.wav,familiar_pool,5,3
karsten,5,J.I.D - 151 Rum (Lyrics).wav,unfamiliar_pool,1,1
karsten,6,photosynthesis ｜ saba.wav,unfamiliar_pool,1,3
karsten,7,Denzel Curry - Walkin (Lyrics).wav,unfamiliar_pool,2,3
karsten,8,Des Rocs - Let Me Live ⧸ Let Me Die (Lyrics).wav,unfamiliar_pool,2,3
karsten,9,JUNGLE - KEEP MOVING (Lyrics).wav,unfamiliar_pool,3,4
karsten,10,Charli XCX - PARTY 4 U (Lyrics).wav,unfamiliar_pool,2,4
karsten,11,Kenny Mason - Hit (Lyrics).wav,unfamiliar_pool,1,2
karsten,12,Oliver Tree - Alien Boy [Official Lyric Video].wav,unfamiliar_pool,2,4
karsten,13,1950 ｜｜ King Princess Lyrics.wav,unfamiliar_pool,1,2
karsten,14,Doja Cat - Kiss Me More (Lyrics) ft. SZA.wav,familiar_pool,2,1
karsten,15,Tones and I - Dance Monkey (Lyrics).wav,familiar_pool,5,3
karsten,16,Glass Animals - Heat Waves (Lyrics).wav,familiar_pool,5,5
karsten,17,The Chainsmokers - Closer (Lyrics) ft. Halsey.wav,familiar_pool,4,3
karsten,18,Lewis Capaldi - Someone You Loved (Lyrics).wav,familiar_pool,5,5
karsten,19,Adele - Hello (Lyrics).wav,familiar_pool,5,5
karsten,20,The Midnight - Days of Thunder (lyrics).wav,unfamiliar_pool,2,4
karsten,21,middle finger lyrics.wav,unfamiliar_pool,1,2
karsten,22,Dua Lipa - Levitating (Lyrics).wav,familiar_pool,4,3
karsten,23,"Ariana Grande - thank u, next (Official Lyric Video).wav",familiar_pool,5,2
karsten,24,Kim Petras - Close Your Eyes [LYRICS VIDEO].wav,unfamiliar_pool,2,4
karsten,25,Betty Who - I Love You Always Forever (Lyrics) (From To All The Boys： Always and Forever).wav,unfamiliar_pool,1,3
karsten,26,Ed Sheeran - Shape of You (Lyrics).wav,familiar_pool,5,4
karsten,27,COIN - Crash My Car (Lyric Video).wav,unfamiliar_pool,2,2
karsten,28,SZA - Kill Bill (Lyrics).wav,familiar_pool,4,3
karsten,29,Olivia Rodrigo - good 4 u (Lyrics).wav,familiar_pool,5,4
karsten,30,DON BROCO - T-Shirt Song (Lyric Video).wav,unfamiliar_pool,2,4
karsten,31,Barns Courtney - Glitter & Gold (Lyrics).wav,unfamiliar_pool,3,5
karsten,32,"Shawn Mendes, Camila Cabello - Señorita (Lyrics) Letra.wav",familiar_pool,5,3
karsten,33,Harry Styles - As It Was (Lyrics).wav,familiar_pool,4,2
karsten,34,Run Away With Me - Carly Rae Jepsen (Lyrics) 🎵.wav,unfamiliar_pool,2,3
karsten,35,Welshly Arms - Legendary (Lyrics).wav,unfamiliar_pool,3,5
karsten,36,"Lady Gaga, Bradley Cooper - Shallow (Lyrics) (A Star Is Born Soundtrack).wav",familiar_pool,4,5
karsten,37,Justin Bieber - Sorry (Lyrics).wav,familiar_pool,4,2
karsten,38,Eminem - Lose Yourself (Lyrics).wav,familiar_pool,5,5
karsten,39,Queen – Bohemian Rhapsody (Lyrics).wav,familiar_pool,5,5
karsten,40,KennyHoopla - ESTELLA Ft Travis Barker (Lyrics).wav,unfamiliar_pool,2,3
karsten,41,Cool Girl - Tove Lo (Lyrics) 🎵.wav,unfamiliar_pool,4,1
karsten,42,The Blue Stones ＂Black Holes (Solid Ground)＂ [Official Lyric Video].wav,unfamiliar_pool,1,4
karsten,43,Two Door Cinema Club - What You Know (Lyrics) - ＂I can tell just what you want＂.wav,unfamiliar_pool,3,3
karsten,44,Saint Motel - ＂Move＂ Lyrics ｜ Official FIFA17 Soundtrack [HQ].wav,unfamiliar_pool,1,3
karsten,45,EARTHGANG - Meditate (feat. J.I.D.) (lyrics).wav,unfamiliar_pool,1,2
karsten,46,The Band CAMINO - Daphne Blue (Official Lyric Video).wav,unfamiliar_pool,3,3
karsten,47,cleopatrick - hometown [lyrics].wav,unfamiliar_pool,2,3
karsten,48,Allie X - Catch (Lyric Video).wav,unfamiliar_pool,1,3
karsten,49,Britney Spears - Baby One More Time (Lyrics).wav,familiar_pool,5,4
karsten,50,The Killers - Mr Brightside (Lyrics).wav,familiar_pool,5,5
karsten,51,Imagine Dragons - Believer (Lyrics).wav,familiar_pool,5,3
karsten,52,Royal Blood - Typhoons (Lyrics).wav,unfamiliar_pool,2,3
karsten,53,Smino - Wild Irish Roses [Lyric Video].wav,unfamiliar_pool,1,3
karsten,54,Miley Cyrus - Flowers (Lyrics).wav,familiar_pool,4,4
karsten,55,Mark Ronson - Uptown Funk (Lyrics) ft. Bruno Mars.wav,familiar_pool,5,5
karsten,56,DREAMERS - Sweet Disaster (Official Lyric Video).wav,unfamiliar_pool,1,3
karsten,57,The Weeknd - Blinding Lights (Lyrics).wav,familiar_pool,5,3
karsten,58,OneRepublic - Counting Stars (Lyrics).wav,familiar_pool,5,5
karsten,59,"Post Malone, Swae Lee - Sunflower (Lyrics).wav",familiar_pool,4,2
karsten,60,Colorado - KOTA The Friend (Lyrics).wav,unfamiliar_pool,2,3
karsten,61,MUNA - I Know A Place (Lyrics).wav,unfamiliar_pool,1,4
karsten,62,Bakar - Hell N Back (Lyrics) ft. Summer Walker.wav,unfamiliar_pool,2,5
karsten,63,Billie Eilish - bad guy (Lyrics).wav,familiar_pool,5,5
karsten,64,Robyn - Dancing On My Own (Lyrics) ＂I'm in the corner watching you kiss her＂.wav,unfamiliar_pool,2,2
karsten,65,DUCKWRTH - MICHUUL..wav,unfamiliar_pool,2,4
karsten,66,Shake It Off - Taylor Swift (Lyrics) 🎵.wav,familiar_pool,5,3
karsten,67,Hozier - Take Me To Church (Lyrics).wav,familiar_pool,5,5
karsten,68,6LACK - PRBLMS [Lyric Video].wav,unfamiliar_pool,1,4
karsten,69,Twenty One Pilots - Stressed Out (Lyrics).wav,familiar_pool,5,4
karsten,70,Lil Nas X - Old Town Road (Lyrics) ft. Billy Ray Cyrus.wav,familiar_pool,5,3
karsten,71,IDK - Digital [lyrics].wav,unfamiliar_pool,1,1
karsten,72,YUNGBLUD - Parents (Lyrics ⧸ Lyric Video).wav,unfamiliar_pool,5,5
karsten,73,Avicii - Wake Me Up (Official Lyric Video).wav,familiar_pool,5,5
karsten,74,BTS - Dynamite (Lyrics).wav,familiar_pool,3,4
karsten,75,Rina Sawayama - XS (Lyrics).wav,unfamiliar_pool,1,1
karsten,76,The Score - Unstoppable (Lyric Video).wav,unfamiliar_pool,4,4
karsten,77,Coldplay - Viva la Vida (Lyrics).wav,familiar_pool,5,5
