stimulus_path,origin_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Aminé - Reel It In (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/grandson - Blood ⧸⧸ Water (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Nightly - The Movies (Lyric video).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/One Direction - What Makes You Beautiful(Lyrics)🎵.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/J.I.D - 151 Rum (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/photosynthesis ｜ saba.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Denzel Curry - Walkin (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Des Rocs - Let Me Live ⧸ Let Me Die (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/JUNGLE - KEEP MOVING (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Charli XCX - PARTY 4 U (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Kenny Mason - Hit (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Oliver Tree - Alien Boy [Official Lyric Video].wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/1950 ｜｜ King Princess Lyrics.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Doja Cat - Kiss Me More (Lyrics) ft. SZA.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Tones and I - Dance Monkey (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Glass Animals - Heat Waves (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/The Chainsmokers - Closer (Lyrics) ft. Halsey.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Lewis Capaldi - Someone You Loved (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Adele - Hello (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/The Midnight - Days of Thunder (lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/middle finger lyrics.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Dua Lipa - Levitating (Lyrics).wav,familiar_pool
"/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Ariana Grande - thank u, next (Official Lyric Video).wav",familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Kim Petras - Close Your Eyes [LYRICS VIDEO].wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Betty Who - I Love You Always Forever (Lyrics) (From To All The Boys： Always and Forever).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Ed Sheeran - Shape of You (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/COIN - Crash My Car (Lyric Video).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/SZA - Kill Bill (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Olivia Rodrigo - good 4 u (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/DON BROCO - T-Shirt Song (Lyric Video).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Barns Courtney - Glitter & Gold (Lyrics).wav,unfamiliar_pool
"/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Shawn Mendes, Camila Cabello - Señorita (Lyrics) Letra.wav",familiar_pool
