stimulus_path,origin_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Architects - Animals [Lyric Video].wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Vivaldi06.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Parkway Drive - Karma [Lyrics HQ].wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Mozart08.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Strauss01.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Yanni01.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Beethoven02.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Ritchie Blackmore explains why he never liked Ian Gillan during Deep Purple😱💀😱#fyp #fypage#viral.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Vangelis01.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Chopin13.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Rammstein - Zeit - English and German lyrics.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/[lyrics] Electric Callboy - MINDREADER.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Yanni19.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Chopin02.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Parkway Drive Glitch lyrics.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Tchaikovsky07.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Dynamic X-Ray Retrospective View of the Esophagus in Motion ｜ Konica Minolta Healthcare.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Tekkno Train LYRICS ｜ Electric Callboy TEKKNO.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/While She Sleeps - Anti social [LYRICS].wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Linkin Park - A Place for My Head (Live In Texas).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/The White Stripes - 'Seven Nation Army＂ (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Chopin01.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Jnekins02.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Bach03.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Vivaldi01.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Hypa hypa lyrics ESKIMO CALLBOY.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Architects - when we were young (lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Parkway Drive - Wild Eyes [Lyrics] [HD].wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/testing/Vangelis02.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/Yannick_Saeckl_normalized/Architects - Tear Gas Lyrics.wav,familiar_pool
