stimulus_path,origin_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/J.I.D - 151 Rum (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/The Midnight - Days of Thunder (lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/KennyHoopla - ESTELLA Ft Travis Barker (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/Valley - like 1999 (lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/Colorado - KOTA The Friend (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/Saint Motel - ＂Move＂ Lyrics ｜ Official FIFA17 Soundtrack [HQ].wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Ed Sheeran - Shape of You (Lyrics).wav,familiar_pool
"/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Ariana Grande - thank u, next (Official Lyric Video).wav",familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Lewis Capaldi - Someone You Loved (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/DREAMERS - Sweet Disaster (Official Lyric Video).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Hozier - Take Me To Church (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Eminem - Lose Yourself (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/The Killers - Mr Brightside (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Glass Animals - Heat Waves (Lyrics).wav,familiar_pool
