stimulus_path,origin_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Grieg01.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mozart07.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky12.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mozart06.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Strauss01.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Strauss04.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Strauss01.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Chopin10.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Bach16.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Beethoven01.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Chopin14.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Vivaldi06.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Bach08.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Yanni18.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Grieg02.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mozart01.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Bach08.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Chopin04.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Shostakovich18.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mancini01.wav,familiar_pool
