stimulus_path,origin_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Bizet02.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Bach03.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Yanni07.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Beethoven07.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Chopin13.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Brahms01.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Vangelis01.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Yanni13.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Hanz05.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Yanni18.wav,unfamiliar_pool
