stimulus_path,origin_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky01.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Chopin04.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Schubert09.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Jnekins02.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky13.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Vangelis02.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky10.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mozart05.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\John Williams01.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mozart08.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Schubert10.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Chopin14.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Wagner01.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Beethoven11.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Ravel14.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky06.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky10.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Vangelis04.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Boccherini01.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Vangelis03.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Yanni18.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky07.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky13.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Vivaldi01.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Bach03.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Vivaldi06.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Jnekins02.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Strauss01.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Beethoven02.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Beethoven07.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Vivaldi06.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mozart04.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky12.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Hanz06.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Brahms01.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky08-02.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mancini01.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Beethoven08.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Shostakovich18.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Strauss01.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Bach03.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Hanz04.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Dvorak02.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mozart10.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Hanz03.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Bach15.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Yanni13.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Yanni19.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky02.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Chopin13.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mozart11.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Vangelis05.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Jnekins02-02.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Dvorak02.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Schubert10.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mozart09.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Strauss04.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Bizet02.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\John Williams01.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Schubert06.wav,familiar_pool
