stimulus_path,origin_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Schubert06.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Grieg02.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Bizet02.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\John Williams01.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky06.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Mozart10.wav,unfamiliar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Shostakovich18.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Tchaikovsky13.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Beethoven08.wav,familiar_pool
c:\Users\yanni\Desktop\TUM MSEI\2. Semester\Lab\Recording\stimuli\testing\Strauss05.wav,unfamiliar_pool
